3.7um,6.7um,7.3um,8.5um,9.7um,11um,12um,13.3um,BTD[11-12],BTD[11-85],BTD[11-73],BTD[11-13],BTD[11-97],BTD[11-37],BTD[11-67],BTD[11-R37],Label
270.411531979625,225.8983717232104,230.57152322327136,224.62811162616427,219.40313076692485,227.4288034824536,226.83311186888295,222.82000612145504,0.5956916135706365,2.800691856289319,-3.1427197408177676,4.608797360998551,8.025672715528742,-42.98272849717142,1.5304317592431858,225.468393960397,1.0
270.08132165440793,221.76669145632357,225.92766070361463,221.02854764353089,217.61329000063006,223.9339149960783,222.29217513151815,218.85923781260618,1.6417398645601509,2.9053673525474153,-1.993745707536334,5.074677183472119,6.320624995448242,-46.14740665832963,2.1672235397547297,221.76239070980816,1.0
275.1495571735586,227.0957561597825,232.78583956023283,229.5209112515534,222.09184404817833,228.05648427189166,227.71948843403334,223.52222952648265,0.3369958378583249,-1.464426979661738,-4.729355288341168,4.534254745409015,5.964640223713332,-47.09307290166694,0.960728112109166,226.1541411179381,1.0
258.87836477664456,227.79944142318098,229.65613763373668,226.4964518201841,221.82901173833366,228.77356372153463,228.51638491910205,226.51448979662646,0.25717880243257696,2.277111901350537,-0.882573912202048,2.259073924908165,6.944551983200967,-30.10480105510993,0.9741222983536488,226.83055422579946,1.0
271.2586183368208,223.08231222646356,225.2442398635112,219.77366575980227,217.79124008031957,221.78196076743592,221.1334091291192,219.6550323733057,0.648551638316718,2.0082950076336488,-3.4622790960752923,2.126928394130232,3.990720687116351,-49.476657569384884,-1.3003514590276382,219.4511504589795,1.0
278.46025867570864,218.89034746730368,221.10555190310188,215.74175293599583,214.88272993089015,216.79495313509753,216.42635223216718,216.02659364348057,0.3686009029303534,1.0532001991016955,-4.310598768004354,0.7683594916169625,1.912223204207379,-61.665305540611115,-2.095394332206155,213.94637253626635,1.0
278.5758721453302,217.21965259639046,219.52577463482947,214.5650643963309,214.62924997594814,213.99286886236106,213.9725361299504,214.23992653468758,0.020332732410651033,-0.5721955339698468,-5.5329057724684105,-0.24705767232651965,-0.6363811135870776,-64.58300328296914,-3.2267837340293966,210.55868407270347,1.0
278.1648484788677,215.31243329061195,217.05954683271455,213.84047216514898,214.62017128784157,212.9867608582079,212.88181209657245,213.08800326484143,0.10494876163545541,-0.8537113069410793,-4.072785974506644,-0.10124240663353135,-1.6334104296336704,-65.17808762065982,-2.3256724324040476,209.24167013517018,1.0
280.29680522655667,212.8367463132498,214.12189194344586,212.97640444499993,214.3651626297923,211.11839893612375,211.24493357265112,212.13369253864659,-0.12653463652736718,-1.8580055088761753,-3.0034930073221062,-1.0152936025228314,-3.246763693668555,-69.17840629043292,-1.7183473771260367,206.64179733547678,1.0
279.4219845569308,215.70105907589476,217.74862267538785,215.5967061931637,215.61676987281635,212.78882105194015,212.9568286293649,213.0818881036431,-0.1680075774247598,-2.807885141223551,-4.959801623447703,-0.29306705170296254,-2.827948820876202,-66.63316350499065,-2.9122380239546146,209.00098473869247,1.0
274.21580084746495,226.5693409182834,231.73574275639797,228.27376182036735,222.03013139525743,226.27552920408115,226.2694354392046,222.2675529128989,0.0060937648765388985,-1.9982326162862023,-5.460213552316816,4.007976291182246,4.245397808823725,-47.940271643383795,-0.29381171420223495,224.2762975079523,1.0
268.40076706809947,233.78427553641265,240.81593722571122,236.4161107381044,226.90866092509006,239.50599247116173,240.0822543446145,232.6504551413327,-0.5762618734527791,3.089881733057325,-1.309944754549491,6.855537329829019,12.597331546071672,-28.894774596937737,5.721716934749082,237.932372032586,1.0
276.25178626110886,223.405616371131,226.06374700532675,220.7376409741267,217.59630573500112,222.68551704004375,222.55994536632252,221.45031593569988,0.12557167372122535,1.9478760659170575,-3.3782299652829977,1.2352011043438722,5.089211305042625,-53.56626922106511,-0.7200993310872548,220.4710969598588,1.0
276.12426404660545,216.09579619769602,218.67269917476867,214.35520976291735,214.55655703351843,214.36516527995622,214.55905642235615,215.1953215940647,-0.19389114239993432,0.009955517038861217,-4.307533894812451,-0.8301563141084785,-0.19139175356221472,-61.75909876664923,-1.730630917739802,210.98011593684708,1.0
277.19094148998977,212.19209067106087,214.58184704415427,212.56807054051063,213.25502725219303,211.43947583283034,211.57861799807986,212.62791111239446,-0.13914216524952394,-1.1285947076802927,-3.1423712113239333,-1.1884352795641178,-1.8155514193626914,-65.75146565715943,-0.752614838230528,207.03294640625563,1.0
280.18916300452366,212.81073749017565,214.9536849866046,212.80421438315275,213.7766279234822,211.43947583283034,211.8339807913335,212.726326683727,-0.3945049585031484,-1.3647385503224143,-3.51420915377426,-1.2868508508966556,-2.3371520906518697,-68.74968717169332,-1.3712616573453147,207.12121087158766,1.0
277.9763779250987,210.91658084286917,213.4378699962838,212.80421438315275,213.85987244386803,210.97177193687048,211.14186909389858,212.2947105128658,-0.17009715702809558,-1.832442446282272,-2.4660980594133264,-1.3229385759953232,-2.888100506997546,-67.0046059882282,0.05519109400131583,206.3417041115531,1.0
277.0683993362331,210.91658084286917,213.0387015642165,213.03881424809484,214.37429440623654,210.95708398468173,211.30925614888267,212.12749090086328,-0.3521721642009368,-2.0817302634131067,-2.0816175795347647,-1.1704069161815482,-3.417210421554813,-66.11131535155135,0.040503141812564536,206.29141263610995,1.0
277.3128542673007,211.2361307159614,213.0387015642165,213.03881424809484,214.88272993089015,211.05979854537298,211.30925614888267,211.95985928852951,-0.2494576035096827,-1.9790157027218527,-1.9789030188435106,-0.90006074315653,-3.8229313855171654,-66.2530557219277,-0.17633217058840955,206.44938499404242,1.0
